ProductId,SimulationDate,TY_Start_Date,Unit_TY,ASP_TY,Unit_Forecast,Unit_LY,ASP_LY,TY_StockOut,Total_Day,LY_StockOut,Incoming_Inventory_TY,Inventory_TY,Inventory_LY,FinalROP,ROQ,LostSales,ServiceLevel,SOQ_Realized,SalesRevenue_TY,SalesRevenue_LY,LY_Lost_Sales,TY_Lost_Sales,Total_Day_LY,StoreCount_W,CostOfGoodsSold,Timing,product_id,product_description,product_hierarchy_1_description,product_hierarchy_2_description,product_hierarchy_3_description,product_hierarchy_4_description,product_hierarchy_5_description,product_speed_cluster,size,color,family_is_main,new_product,Profitability
462899,2023-05-21,2022-10-16,19,44.53842105,,10.0,39.6,177,1134,721.0,38.0,177.0,116.0,0,0,0,,27.0,846.23,396.0,7.306784318,3.550456337,800.0,162,20.93,Actual,462899,Sports Shirt - White05 - Medium,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,MEDIUM,WHITE05,1,0,825.3000000000001
462899,2023-05-21,2022-10-23,11,45.20818182,,6.0,39.33333333,193,1134,716.0,41.0,187.0,105.0,0,0,0,,27.0,497.29,236.0,4.47129677,1.088831074,800.0,162,20.93,Actual,462899,Sports Shirt - White05 - Medium,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,MEDIUM,WHITE05,1,0,476.36
462899,2023-05-21,2022-10-30,11,44.59090909,,1.0,40.0,138,1134,700.0,31.0,189.0,113.0,0,0,0,,27.0,490.5,40.0,0.0,1.784007283,800.0,162,20.93,Actual,462899,Sports Shirt - White05 - Medium,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,MEDIUM,WHITE05,1,0,469.57
462899,2023-05-21,2022-11-06,5,44.1,,1.0,40.0,142,1134,690.0,20.0,207.0,114.0,0,0,0,,27.0,220.5,40.0,1.373904507,0.662837478,800.0,162,20.93,Actual,462899,Sports Shirt - White05 - Medium,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,MEDIUM,WHITE05,1,0,199.57
462899,2023-05-21,2023-04-30,57,44.77385965,,60.0,44.72233333,53,1134,239.0,31.0,346.0,355.0,241,0,0,,38.0,2552.11,2683.34,17.00021662,1.333765085,800.0,162,20.93,Actual,462899,Sports Shirt - White05 - Medium,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,MEDIUM,WHITE05,1,0,2531.1800000000003
462899,2023-05-21,2023-05-07,37,44.75675676,,98.0,44.5177551,54,1134,139.0,60.0,318.0,506.0,318,0,0,,31.0,1656.0,4362.74,12.92525565,3.054036317,800.0,162,20.93,Actual,462899,Sports Shirt - White05 - Medium,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,MEDIUM,WHITE05,1,0,1635.07
462899,2023-05-21,2023-05-14,49,44.78428571,,124.0,44.50806452,61,1134,156.0,96.0,340.0,637.0,380,0,0,,70.0,2194.43,5519.0,13.76326536,1.973281648,800.0,162,20.93,Actual,462899,Sports Shirt - White05 - Medium,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,MEDIUM,WHITE05,1,0,2173.5
462899,2023-05-21,2023-03-19,25,39.691596,,36.0,43.72111111,30,1134,364.0,24.0,423.0,191.0,259,0,0,,12.0,992.2899,1573.96,12.40911835,0.481164907,800.0,162,20.93,Actual,462899,Sports Shirt - White05 - Medium,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,MEDIUM,WHITE05,1,0,971.3599
462899,2023-05-21,2023-03-26,35,44.79342857,,72.0,44.69680556,31,1134,142.0,19.0,426.0,294.0,245,0,0,,23.0,1567.77,3218.17,11.26451567,0.788887698,800.0,162,20.93,Actual,462899,Sports Shirt - White05 - Medium,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,MEDIUM,WHITE05,1,0,1546.84
462899,2023-05-21,2023-04-02,65,44.54815385,,50.0,44.3856,30,1134,157.0,19.0,409.0,368.0,224,0,0,,31.0,2895.63,2219.28,5.270787679,1.72349098,800.0,162,20.93,Actual,462899,Sports Shirt - White05 - Medium,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,MEDIUM,WHITE05,1,0,2874.7000000000003
462899,2023-05-21,2023-04-09,42,44.94642857,,76.0,44.38684211,43,1134,187.0,45.0,367.0,372.0,229,0,0,,13.0,1887.75,3373.4,12.8708751,1.821438172,800.0,162,20.93,Actual,462899,Sports Shirt - White05 - Medium,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,MEDIUM,WHITE05,1,0,1866.82
462899,2023-05-21,2023-04-16,40,44.54375,,52.0,44.70596154,57,1134,271.0,30.0,365.0,316.0,235,0,0,,27.0,1781.75,2324.71,13.95793864,3.844329627,800.0,162,20.93,Actual,462899,Sports Shirt - White05 - Medium,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,MEDIUM,WHITE05,1,0,1760.82
462899,2023-05-21,2023-04-23,42,45.0,,57.0,43.86631579,58,1134,260.0,34.0,345.0,296.0,236,0,0,,37.0,1890.0,2500.38,14.41861424,2.174275187,800.0,162,20.93,Actual,462899,Sports Shirt - White05 - Medium,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,MEDIUM,WHITE05,1,0,1869.07
462899,2023-05-21,2023-02-05,18,44.72222222,,6.0,45.0,49,1134,400.0,59.0,315.0,208.0,210,0,0,,16.0,805.0,270.0,4.3122331,0.725231463,800.0,162,20.93,Actual,462899,Sports Shirt - White05 - Medium,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,MEDIUM,WHITE05,1,0,784.07
462899,2023-05-21,2023-02-12,16,45.0,,4.0,45.0,54,1134,414.0,21.0,351.0,201.0,263,0,0,,35.0,720.0,180.0,2.81151217,0.939161548,800.0,162,20.93,Actual,462899,Sports Shirt - White05 - Medium,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,MEDIUM,WHITE05,1,0,699.07
462899,2023-05-21,2023-02-19,28,44.95392857,,5.0,44.0,189,1134,397.0,76.0,360.0,196.0,258,0,0,,10.0,1258.71,220.0,6.315194273,35.45180344,800.0,162,20.93,Actual,462899,Sports Shirt - White05 - Medium,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,MEDIUM,WHITE05,1,0,1237.78
