product_id,product_description,product_hierarchy_1_description,product_hierarchy_2_description,product_hierarchy_3_description,product_hierarchy_4_description,product_hierarchy_5_description,product_speed_cluster,size,color,family_is_main,new_product
4219255,Sports Bra - Pink Light 03 - Small,Apparel,Athletic/Youth Apparel,Womens Ath,Womens Ath Bras/Underwear,Ath Bras - Low,slow,Small,Pink Light 03,1,0
4219256,Sports Bra - Pink Light 03 - Medium Or Regular,Apparel,Athletic/Youth Apparel,Womens Ath,Womens Ath Bras/Underwear,Ath Bras - Low,mid,Medium Or Regular,Pink Light 03,1,0
4219257,Sports Bra - Pink Light 03 - Large,Apparel,Athletic/Youth Apparel,Womens Ath,Womens Ath Bras/Underwear,Ath Bras - Low,mid,Large,Pink Light 03,1,0
4219258,Sports Bra - Pink Light 03 - X Large,Apparel,Athletic/Youth Apparel,Womens Ath,Womens Ath Bras/Underwear,Ath Bras - Low,mid,X Large,Pink Light 03,1,0
4272066,Short Sleeve Shirt - Grey Medium 01 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,Small,Grey Medium 01,1,0
4272067,Short Sleeve Shirt - Grey Medium 01 - Medium Or Regular,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,Medium Or Regular,Grey Medium 01,1,0
4272068,Short Sleeve Shirt - Grey Medium 01 - Large,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,Large,Grey Medium 01,1,0
4272069,Short Sleeve Shirt - Grey Medium 01 - X Large,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,X Large,Grey Medium 01,1,0
4272070,Short Sleeve Shirt - Grey Medium 01 - Xx Large,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,XX Large,Grey Medium 01,1,0
4272071,Short Sleeve Shirt - Grey Medium 01 - Xxx Large,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,XXX Large,Grey Medium 01,1,0
4272072,Short Sleeve Shirt - Grey Medium 01 - Xxxx Large,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,XXXX Large,Grey Medium 01,1,0
4373504,Sports Bra - White - X Small,Apparel,Athletic/Youth Apparel,Womens Ath,Womens Ath Bras/Underwear,Ath Bras - Low,mid,X Small,White,1,0
4373505,Sports Bra - Black - X Small,Apparel,Athletic/Youth Apparel,Womens Ath,Womens Ath Bras/Underwear,Ath Bras - Low,mid,X Small,Black,1,0
4373506,Sports Bra - Charcoal 01 - X Small,Apparel,Athletic/Youth Apparel,Womens Ath,Womens Ath Bras/Underwear,Ath Bras - Low,slow,X Small,Charcoal 01,1,0
4373507,Sports Bra - Navy - X Small,Apparel,Athletic/Youth Apparel,Womens Ath,Womens Ath Bras/Underwear,Ath Bras - Low,slow,X Small,Navy,1,0
4373509,Sports Bra - Pink Light 03 - X Small,Apparel,Athletic/Youth Apparel,Womens Ath,Womens Ath Bras/Underwear,Ath Bras - Low,slow,X Small,Pink Light 03,1,0
4373510,Sports Bra - Red - X Small,Apparel,Athletic/Youth Apparel,Womens Ath,Womens Ath Bras/Underwear,Ath Bras - Low,slow,X Small,Red,1,0
4427562,Basketball Short - Black - Small,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,mid,Small,Black,1,0
4427563,Basketball Short - Black - Medium Or Regular,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,fast,Medium Or Regular,Black,1,0
4427564,Basketball Short - Black - Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,fast,Large,Black,1,0
4427565,Basketball Short - Black - X Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,fast,X Large,Black,1,0
4427566,Basketball Short - Black - Xx Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,fast,XX Large,Black,1,0
4427567,Basketball Short - Black - Xxx Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,fast,XXX Large,Black,1,0
4427568,Basketball Short - Charcoal 01 - Small,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,mid,Small,Charcoal 01,1,0
4427569,Basketball Short - Charcoal 01 - Medium Or Regular,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,fast,Medium Or Regular,Charcoal 01,1,0
4427649,Basketball Short - Charcoal 01 - Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,fast,Large,Charcoal 01,1,0
4427650,Basketball Short - Charcoal 01 - X Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,fast,X Large,Charcoal 01,1,0
4427651,Basketball Short - Charcoal 01 - Xx Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,fast,XX Large,Charcoal 01,1,0
4427652,Basketball Short - Charcoal 01 - Xxx Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,mid,XXX Large,Charcoal 01,1,0
4427653,Basketball Short - Silver - Small,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,slow,Small,Silver,1,0
4427654,Basketball Short - Silver - Medium Or Regular,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,mid,Medium Or Regular,Silver,1,0
4427655,Basketball Short - Silver - Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,mid,Large,Silver,1,0
4427656,Basketball Short - Silver - X Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,mid,X Large,Silver,1,0
4427657,Basketball Short - Silver - Xx Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,mid,XX Large,Silver,1,0
4427658,Basketball Short - Silver - Xxx Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,mid,XXX Large,Silver,1,0
4427659,Basketball Short - Navy - Small,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,mid,Small,Navy,1,0
4427660,Basketball Short - Navy - Medium Or Regular,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,mid,Medium Or Regular,Navy,1,0
4427661,Basketball Short - Navy - Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,fast,Large,Navy,1,0
4427662,Basketball Short - Navy - X Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,fast,X Large,Navy,1,0
4427663,Basketball Short - Navy - Xx Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,mid,XX Large,Navy,1,0
4427664,Basketball Short - Navy - Xxx Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,mid,XXX Large,Navy,1,0
4427665,Basketball Short - Red - Small,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,slow,Small,Red,1,0
